mean_hr_post,rmssd_post,gsr_change_pct,delta_hr,mean_eeg_af7_post,participant_id,label
-0.003077395368836733,0.019723513671488037,-0.007645805169067899,0.05451010984816094,0.10480903940288044,P004,1
-0.022494537534021218,-0.0364242882783401,-0.04854951452216483,-0.022006087270256103,-0.11628732314593435,P004,0
-0.024555114633676565,-0.040286474615732,-0.06874789544704071,0.010565959498626399,-0.11529527884249546,P004,0
-0.03473319850390908,-0.034522559556353374,-0.06469113184098205,0.019858527442147535,-0.10675565640767673,P004,0
0.011004615040019417,0.011593069659556931,-0.013069577366695739,0.00503343480413605,0.12941844266770203,P004,1
0.002229796158917452,0.0056141911228223765,-8.626408880445524e-05,0.05897792294927058,0.17915313846096978,P004,1
0.01160055236568951,0.017991844842163117,0.007390688313626015,0.020427345909956783,0.08011990501163382,P004,1
0.021184093886859046,-0.01186314072137975,0.008067699981347686,0.02892980617189096,0.18209541604719562,P004,1
-0.017147840327288576,-0.025268689725908188,-0.024451578048956434,-0.009658681224664178,0.04634142669456196,P004,0
0.0017363375706736406,0.0040158306322155115,-0.01660706184529772,0.05656111941716517,0.1282668382371412,P004,1
-0.013806339425991609,-0.036232834710881436,-0.024239459082855318,-0.030095943458718466,-0.12763256297139378,P004,0
-0.02598739670147552,-0.04420060578140692,-0.040604496304649726,-0.04332265444904806,-0.08202375358096106,P004,0
-0.037835827652361334,-0.019583939680069308,-0.029767825424141848,0.005143638086929058,-0.1110358414222901,P005,0
-0.02169168865316351,0.09310990819440121,0.04950972026481395,0.03563319186514491,-0.010761783801808634,P005,1
-0.015960278058219046,0.002403878667291792,-0.005090916854260286,-0.03827497269003288,0.004005346274607291,P005,0
0.038394495748161714,0.012743428956946445,0.03037491596860491,0.06429093331462354,0.0823773082985099,P005,1
-0.05237544675101162,-0.023708769741369908,0.01992501445229209,0.019359946792155823,-0.11315994913720714,P005,0
-0.046490781182819775,-0.03326502563622853,-0.007217461834625283,-0.03897002895791957,-0.06649868995482393,P005,0
-0.05057338393389728,0.0025930781294846383,-0.018085682065157017,-0.028804179274493434,-0.11551021427039813,P005,0
